"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"GREEK ORGANIZATION OF FOOTBALL PROGNOSTICS","3,170","1,282 Million USD","239 Million USD","4.529 Billion USD","Greece","Gambling, Betting, Consumer Cyclical","","","","Frankfurt","http://www.chinabiologic.com/"
"TIMKEN COMPANY","3,171","11,958 Million USD","1,534 Million USD","5.830 Billion USD","USA","Metal Fabrication Products, Capital Goods, Industries","18,000","","","Mexico, NYSE","http://www.chinabiologic.com/"
"DADA NEXUS LTD","3,172","861 Million USD","-312 Million USD","8.527 Billion USD","China","eCommerce, Internet or Mobile App Based Business, Retail","2,149","","","Nasdaq","http://www.chinabiologic.com/"
"CHESAPEAKE ENERGY CORPORATION","3,173","5,296 Million USD","-9,734 Million USD","0.015 Billion USD","USA","Oil and Gas, Energy","","","","Bovespa Brazil, Frankfurt, NYSE","http://www.chinabiologic.com/"
"HUHTAMAKI OYJ","3,174","3,862 Million USD","207 Million USD","5.370 Billion USD","Finland","Packaging Materials, Packaging, Consumer Cyclical","18,600","","","","http://www.chinabiologic.com/"
"HOCHTIEF","3,175","27,085 Million USD","500 Million USD","6.841 Billion USD","Germany","Real Estate, Infrastructure, Industries","46,644","","","Deutsche Borse","http://www.chinabiologic.com/"
"ORACLE FINANCIAL SERVICES SOFTWARE","3,176","648 Million USD","229 Million USD","3.813 Billion USD","India","Software and IT, Software Products, Technology","8,001","S&P BSE SOFTWARE and IT, S&P BSE TECHNOLOGY","","NSE, BSE","http://www.chinabiologic.com/"
"DASHENLIN PHARMACEUTICAL GROUP","3,177","2,187 Million USD","159 Million USD","7.899 Billion USD","China","Pharmaceutical, HealthCare Products, Healthcare","","","","Shanghai","http://www.chinabiologic.com/"
"ALTAGAS","3,178","4,425 Million USD","384 Million USD","4.107 Billion USD","Canada","Oil and Gas, Utilities, Energy","2,801","","","TSX","http://www.chinabiologic.com/"
"IDBI BANK","3,179","1,670 Million USD","197 Million USD","4.587 Billion USD","India","Banking Services, Financial Services","18,000","S&P BSE FINANCE","","NSE, BSE","https://www.idbibank.in"
"ALTAIR ENGINEERING","3,180","470 Million USD","-10 Million USD","4.285 Billion USD","USA","Engineering Products, Engineering Services, Technology","3,300","","","Nasdaq","https://www.idbibank.in"
"EMPRESAS CMPC","3,181","5,287 Million USD","-28 Million USD","6.545 Billion USD","Chile","Paper and Pulp, Basic Materials","17,000","","","Santiago","https://www.idbibank.in"
"RINNAI CORPORATION","3,182","3,098 Million USD","194 Million USD","5.978 Billion USD","Japan","Electronics, Heating Equipment, Technology","10,571","","","Tokyo","https://www.idbibank.in"
"CLEAN HARBORS","3,183","3,144 Million USD","134 Million USD","4.204 Billion USD","USA","Waste and Trash Management, Environmental Services, Industries","14,400","","","NYSE","https://www.idbibank.in"
"ADANI POWER","3,184","3,409 Million USD","165 Million USD","2.646 Billion USD","India","Electric Utilities, Electricity Generation, Utilities","92","S&P BSE UTILITIES, S&P BSE POWER","","NSE, BSE","https://www.idbibank.in"
"NCR CORPORATION","3,185","6,207 Million USD","-79 Million USD","4.843 Billion USD","USA","Office Equipment, Software and IT, Technology","34,000","","","Frankfurt, NYSE","https://www.idbibank.in"
"CANVA","3,185","","","","Australia","Software and IT, Internet or Mobile App Based Business, Social Media","","","","","https://www.idbibank.in"
"ZOOX","3,185","","","","USA","Technology, Software and IT, Artificial Intelligence","1,274","","","","https://www.idbibank.in"
"ABB INDIA","3,186","755 Million USD","28 Million USD","3.576 Billion USD","India","Engineering Products, Engineering Services, Industries","3,299","S&P BSE POWER, S&P BSE INDUSTRIALS, S&P BSE Capital Goods","","NSE, BSE","https://www.idbibank.in"
"TWIST BIOSCIENCE CORPORATION","3,187","90 Million USD","-140 Million USD","4.481 Billion USD","USA","Biotechnology, Health Care Diagnostics, Healthcare","525","","","Nasdaq","https://www.twistbioscience.com/"
"ZHEJIANG WEIMING ENVIRONMENT PROTECTION","3,188","469 Million USD","189 Million USD","3.641 Billion USD","China","Waste and Trash Management, Industries","","","","Shanghai","https://www.twistbioscience.com/"
"MERLIN PROPERTIES SOCIMI","3,189","526 Million USD","66 Million USD","4.403 Billion USD","Spain","Property Investments, Commercial Properties, Real Estate","","","","MCE","https://www.twistbioscience.com/"
"DISCOVERY LIMITED","3,190","4,258 Million USD","6 Million USD","6.854 Billion USD","South Africa","Insurance, Financial Services","12,980","","","JSE","https://www.twistbioscience.com/"
"BITMAIN","3,190","","","","China","Processors / Chips, Technology Hardware and Instruments, Technology","","","","","https://www.twistbioscience.com/"
"DADA GROUP","3,190","","","","China","Logistics","","","","","https://www.twistbioscience.com/"
"GINKGO BIOWORKS","3,190","","","","USA","Healthcare, Biotechnology","200","","","","https://www.twistbioscience.com/"
"GUSTO","3,190","","","","USA","Software Products, Software and IT","1,431","","","","https://www.twistbioscience.com/"
"HELLOBIKE","3,190","","","","China","Technology, Ride Sharing","","","","","https://www.twistbioscience.com/"
"HOUZZ","3,190","","","","USA","eCommerce, Internet or Mobile App Based Business","1,000","","","","https://www.twistbioscience.com/"
"IMPOSSIBLE FOODS","3,190","","","","USA","Meat / Poultry / Fish / Chicken, Food Products","561","","","","https://impossiblefoods.com/"
"KATERRA","3,190","","","","USA","Infrastructure, Construction","2,377","","","","https://impossiblefoods.com/"
"KRAKEN","3,190","","","","USA","Technology, Brokerage Services, Trading","128","","","","https://impossiblefoods.com/"
"NIANTIC","3,190","","","","USA","Technology, Software and IT, Video Games / Mobile Games / Tech Games / Casino Games","705","","","","https://impossiblefoods.com/"
"OPENDOOR LABS","3,190","","","","USA","eCommerce, Real Estate, Internet or Mobile App Based Business","835","","","","https://impossiblefoods.com/"
"PROCORE TECHNOLOGIES","3,190","","","","USA","Software and IT, Software Products, Construction","1,600","","","","https://impossiblefoods.com/"
"ROYOLE","3,190","","","","China","Sensors, Technology Hardware and Instruments, Technology","","","","","https://impossiblefoods.com/"
"SOFI","3,190","","","","USA","Technology, Financial Services","1,500","","","","https://impossiblefoods.com/"
"TRIPACTIONS","3,190","","","","USA","eCommerce, Software and IT, Internet or Mobile App Based Business","700","","","","https://impossiblefoods.com/"
"UBTECH","3,190","","","","China","Robotics","1,000","","","","https://impossiblefoods.com/"
"UNITED IMAGING","3,190","","","","China","HealthCare Products, Medical Equipment","","","","","https://www.united-imaging.com/"
"VIPKID","3,190","","","","China","Internet or Mobile App Based Business, Education","","","","","https://www.united-imaging.com/"
"WM MOTOR","3,190","","","","China","Electric Vehicles, Automobile","","","","","https://www.united-imaging.com/"
"WOOWA BROTHERS","3,190","","","","South Korea","Software and IT","900","","","","https://www.united-imaging.com/"
"ZUME","3,190","","","","USA","Plastics / Plastic Products, Packaging Materials","37","","","","https://www.united-imaging.com/"
"MEGVII","3,190","","","","China","Technology, Software and IT, Artificial Intelligence","","","","","https://www.united-imaging.com/"
"WESTERN SECURITIES","3,191","777 Million USD","168 Million USD","5.435 Billion USD","China","Stock Markets, Trading, Capital Markets, Securities, Financial Services","","","","Shenzhen","https://www.united-imaging.com/"
"LECHWERKE AG","3,192","1,497 Million USD","138 Million USD","4.316 Billion USD","Germany","Electric Utilities, Gas Utilities, Utilities","","","","Frankfurt","https://www.united-imaging.com/"
"JUNGHEINRICH","3,193","4,493 Million USD","178 Million USD","4.643 Billion USD","Germany","Industry Machinery, Commercial Vehicles, Industries","18,000","","","Deutsche Borse","https://www.united-imaging.com/"
"NATIONAL INSTRUMENTS CORPORATION","3,194","1,287 Million USD","144 Million USD","5.767 Billion USD","USA","Software and IT, Software Products, Technology","7,300","","","Frankfurt, Nasdaq","https://www.united-imaging.com/"
"LIFESTANCE HEALTH GROUP, INC.","3,195","213 Million USD","-59 Million USD","","USA","Healthcare Service, Hospitals, Healthcare","","","","Nasdaq","https://lifestance.com/"
"TOTAL ACCESS COMMUNICATION PUBLIC COMPANY","3,196","2,009 Million USD","153 Million USD","5.308 Billion USD","Thailand","Mobile Services, Telecom, Communication Services","","","","Thailand","https://lifestance.com/"
"FRESHPET","3,197","319 Million USD","-3 Million USD","5.770 Billion USD","USA","Animal Feed, FMCG, Consumer Defensive","462","","","Nasdaq","https://lifestance.com/"
"ZIM INTEGRATED SHIPPING SERVICES LTD.","3,198","3,991 Million USD","518 Million USD","","Israel","Shipping","","","","NYSE","https://lifestance.com/"
"LEGEND BIOTECH CORP","3,199","76 Million USD","-303 Million USD","3.524 Billion USD","USA","Biotechnology, Healthcare, Biopharmaceutical","650","","","Nasdaq","https://lifestance.com/"
"CATHAY PACIFIC AIRWAYS","3,200","6,101 Million USD","-2,844 Million USD","5.953 Billion USD","Hong Kong","Airlines, Aviation, Industries","33,000","","","HKeX","https://lifestance.com/"
"EVERCORE","3,201","2,263 Million USD","351 Million USD","4.455 Billion USD","USA","Investments, Stock Markets, Trading, Capital Markets, Financial Services","1,900","","","NYSE","https://lifestance.com/"
"CHEMOURS COMPANY","3,202","4,969 Million USD","219 Million USD","4.077 Billion USD","USA","Chemicals, Basic Materials","6,500","","","Frankfurt, NYSE","https://lifestance.com/"
"ASIA CEMENT CORPORATION","3,203","2,817 Million USD","530 Million USD","5.171 Billion USD","Taiwan","Cement, Construction Materials, Basic Materials","","","","Taiwan","https://lifestance.com/"
"ASHLAND GLOBAL HOLDINGS","3,204","2,326 Million USD","-508 Million USD","4.803 Billion USD","USA","Chemicals, Plastics / Plastic Products, Basic Materials","4,500","","","NYSE","https://lifestance.com/"
"AUTOHOME","3,205","1,299 Million USD","511 Million USD","11.862 Billion USD","China","Software and IT, Technology, Communication Services","","","","NYSE","http://ir.autohome.com.cn"
"NIPPON SHINYAKU","3,206","1,061 Million USD","152 Million USD","4.427 Billion USD","Japan","Pharmaceutical, Healthcare","2,026","","","Tokyo","http://ir.autohome.com.cn"
"JIANGSU YANGNONG CHEMICAL","3,207","1,475 Million USD","181 Million USD","6.262 Billion USD","China","Chemicals, Agriculture Related, Basic Materials","","","","Shanghai","http://ir.autohome.com.cn"
"ECLAT TEXTILE","3,208","1,014 Million USD","153 Million USD","4.128 Billion USD","Taiwan","Textile, Consumer Cyclical","16,622","","","Taiwan","http://ir.autohome.com.cn"
"TATA COMMUNICATIONS","3,209","2,223 Million USD","163 Million USD","4.268 Billion USD","India","Telecom, Communication Services","12,000","S&P BSE TELECOM, S&P BSE TECHNOLOGY","","NSE, BSE","http://ir.autohome.com.cn"
"SIMCORP A/S","3,210","538 Million USD","103 Million USD","5.893 Billion USD","Denmark","Software and IT, Software Products, Technology","1,823","","","Copenhagen","http://ir.autohome.com.cn"
"1&1 AG","3,211","4,468 Million USD","259 Million USD","4.388 Billion USD","Germany","Telecom, Internet Providers, Communication Services","3,163","","","Frankfurt, Deutsche Borse","http://ir.autohome.com.cn"
"IGO LIMITED","3,212","452 Million USD","400 Million USD","","Australia","Mining, Basic Materials","","","","Frankfurt","http://ir.autohome.com.cn"
"GODREJ PROPERTIES","3,213","99 Million USD","-9 Million USD","4.921 Billion USD","India","Real Estate","1,779","S&P BSE CDGS, S&P BSE REALTY","","NSE, BSE","http://ir.autohome.com.cn"
"AUTEL INTELLIGENT TECHNOLOGY CORP., LTD.","3,214","1,577 Million USD","433 Million USD","","USA","Automobile Parts, Consumer Cyclical","","","","Shanghai","http://ir.autohome.com.cn"
"RYMAN HEALTHCARE","3,215","317 Million USD","296 Million USD","5.456 Billion USD","New Zealand","HealthCare Products, Healthcare Service, Healthcare","6,100","","","NZX","https://www.rymanhealthcare.co.nz/"
"R1 RCM","3,216","1,270 Million USD","117 Million USD","2.802 Billion USD","USA","Consumer Services, Healthcare Technology and Information, Healthcare","16,500","","","Nasdaq","https://www.rymanhealthcare.co.nz/"
"BANK OZK","3,217","765 Million USD","270 Million USD","4.044 Billion USD","USA","Banking Services, Financial Services","2,315","","","Nasdaq","https://www.rymanhealthcare.co.nz/"
"METROPOLITAN BANK & TRUST CO","3,217","2,425 Million USD","277 Million USD","4.470 Billion USD","Philippines","Financial Services, Banking Services","","","","","https://www.rymanhealthcare.co.nz/"
"CNNC HUA YUAN TITANIUM DIOXIDE CO., LTD","3,218","","","","China","Chemicals, Basic Materials","","","","Shenzhen","https://www.rymanhealthcare.co.nz/"
"CIT GROUP","3,219","2,306 Million USD","-646 Million USD","3.537 Billion USD","USA","Banking Services, Financial Services","3,678","","","NYSE, Frankfurt","https://www.rymanhealthcare.co.nz/"
"BROTHER INDUSTRIES","3,220","5,799 Million USD","446 Million USD","5.363 Billion USD","Japan","Electronics, Consumer Electronics, Industries","37,697","","","Tokyo","https://www.rymanhealthcare.co.nz/"
"SHIMIZU CORPORATION","3,221","15,454 Million USD","891 Million USD","5.555 Billion USD","Japan","Infrastructure, Engineering Products, Industries","10,384","NIKKEI 225","","Frankfurt, Tokyo","https://www.rymanhealthcare.co.nz/"
"AMPLITUDE, INC.","3,221","","","","USA","Software and IT, Technology, Analytics","","","","Nasdaq","https://www.rymanhealthcare.co.nz/"
"KINGSOFT CORPORATION","3,222","839 Million USD","1,507 Million USD","8.816 Billion USD","China","Gaming, Software and IT, Communication Services","7,000","","","HKeX","https://www.rymanhealthcare.co.nz/"
"MAZDA MOTOR CORPORATION","3,223","31,216 Million USD","109 Million USD","4.231 Billion USD","Japan","Automobile, Automobile Parts, Consumer Cyclical","49,998","NIKKEI 225","","Tokyo","https://www.mazda.com/"
"KBR","3,224","5,767 Million USD","","4.408 Billion USD","USA","Construction, Industries","28,000","","","Frankfurt, NYSE","https://www.mazda.com/"
"PARADE TECHNOLOGIES","3,225","550 Million USD","20 Million USD","2.540 Billion USD","Cayman Islands","Semiconductors, Technology","","","","Taiwan","https://www.mazda.com/"
"PERRIGO COMPANY","3,226","5,063 Million USD","-163 Million USD","6.104 Billion USD","Ireland","Pharmaceutical, Biopharmaceutical, Healthcare","11,200","","","Tel Aviv, NYSE","https://www.mazda.com/"
"EQM MIDSTREAM PARTNERS LP","3,226","","","4.450 Billion USD","USA","Oil and Gas, Utilities, Energy","771","","","Frankfurt, NYSE","https://www.mazda.com/"
"WESTERN SUPERCONDUCTING TECHNOLOGIES","3,227","317 Million USD","56 Million USD","5.371 Billion USD","China","Metal Fabrication Products, Industries","","","","Shanghai","https://www.mazda.com/"
"ITALGAS","3,228","2,472 Million USD","452 Million USD","5.124 Billion USD","Italy","Gas Utilities, Natural Gas Distribution, Utilities","","","","Borsa Italiana","https://www.mazda.com/"
"BWX TECHNOLOGIES","3,229","2,123 Million USD","279 Million USD","5.745 Billion USD","USA","Energy, Machinery Manufacturing, Industries","6,450","","","Frankfurt, NYSE","https://www.mazda.com/"
"AKER ASA","3,230","654 Million USD","157 Million USD","4.785 Billion USD","Norway","Oil and Gas, Energy","37,000","","","Frankfurt","https://www.mazda.com/"
"PAN AMERICAN SILVER","3,231","1,339 Million USD","178 Million USD","7.236 Billion USD","Canada","Mining, Metals, Basic Materials","6,800","","","Nasdaq, Frankfurt","https://www.mazda.com/"
"BLUEPRINT MEDICINES CORPORATION","3,232","794 Million USD","314 Million USD","6.250 Billion USD","USA","Pharmaceutical, Biotechnology, Healthcare","383","","","Nasdaq","https://www.blueprintmedicines.com/"
"KIMBERLY-CLARK DE MEXICO S. A. B. DE C. V","3,233","2,335 Million USD","304 Million USD","5.286 Billion USD","Mexico","Personal Care Products, FMCG, Consumer Defensive","","","","Mexico","https://www.blueprintmedicines.com/"
"HAINAN AIRLINES HOLDING","3,234","4,410 Million USD","-9,601 Million USD","3.895 Billion USD","China","Airlines, Aviation, Industries","","","","Shanghai","https://www.blueprintmedicines.com/"
"I-MAB","3,235","231 Million USD","71 Million USD","3.324 Billion USD","China","Biopharmaceutical, Biotechnology, Healthcare","","","","Nasdaq","https://www.blueprintmedicines.com/"
"LIAONING CHENG DA","3,236","2,641 Million USD","416 Million USD","5.695 Billion USD","China","Imports / Exports Services, Trading, Healthcare","3,267","","","Shanghai","https://www.blueprintmedicines.com/"
