medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Pediatric Medicine;ABMS Pediatrics;Michael J. Romano, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Texas Children's Hospital;University of Texas Health Science;;Naval Hospital San Diego
Internal Medicine;ABMS Internal Medicine;Francois G. Rollin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Kael A. Rogers, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Dental Medicine;;David A. Reznik, DDS;Male;;Ponce De Leon Center;Grady;(404) 616-1000;;Emory University School of Post-Graduate Denistry;Emory University School of Post-Graduate Denistry;Emory University School of Post-Graduate Denistry
Cardiovascular Disease;ABMS Internal Medicine;Amir  Rezvan, MD, MS;Male;;Brookhaven Health Center;Emory;(404) 616-1000;Emory University School of Medicine;Iran University of Medical School;Drexel University College of Medicine;Drexel University College of Medicine
Interventional Radiology;ABMS Radiology;Neil J. Resnick, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mount Sinai School of Medicine;University of Vermont;Naval Medical Center Portsmouth;Maine Medical Center
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Jennifer A. Reeves, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Washington University in St. Louis;;University of Missouri Kansas City School of Medicine
Neurology;ABMS Psychiatry/Neurology;Andres A. Rodriguez Ruiz, MD;Male;Spanish;Grady Memorial Hospital;Emory;(404) 616-1000;Harlem Hospital Center;University of Puerto Rico;SUNY Downstate Medical Center;SUNY Downstate Medical Center
Emergency Medicine;ABMS Emergency Medicine;Mark  Rosing, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Louisiana State University School of Medicine(NO)
Pediatric Medicine;ABMS Pediatrics;Cidjah G. Rodney-Somersall, MD;Female;;Brookhaven Health Center;Emory;(404) 616-1000;;Morehouse School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Jennifer  Robertson, MD, MSEd, FAAEM;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Kansas Hospital;;University of Missouri Kansas City School of Medicine
Orthopaedics;ABMS Orthopaedic Surgery;John M. Rhee, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington  University;University of California San Francisco - School of Medicine;University of California San Francisco School of Medicine;University of California-San Francisco
Pediatrics;ABMS Pediatrics;Jessica L. Roberts, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Mercer University School of Medicine;;Emory University School of Medicine
Geriatric Medicine;ABMS Hospice and Palliative Medicine;Diego H. Remolina, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Rush University Medical Center;Pontificia Universidad;Michael Reese Hospital;Michael Reese Hospital
Gastroenterology;ABMS Internal Medicine;Benjamin D. Renelus, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;New York Presbyterian Hospital;Morehouse School of Medicine;Morehouse School of Medicine;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Eva R. Rimler, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Illinois at Chicao;;Emory University School of Medicine
Urology;ABMS Urology;Chad W.M. Ritenour, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Medical College of Virginia;Emory University School of Medicine;Emory University School of Medicine
Neurosurgery;ABMS Medical Genetics and Genomics;Daniel  Refai, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Cleveland Clinic;University of Chicago;Washington University St. Louis School of Medicine;Washington University St. Louis School of Medicine
Pediatric Radiology;ABMS Pediatrics;Erica L. Riedesel, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Boston Childrens Hospital;University of Iowa Carver College of Medicine;;University of Wisconsin Medical School
Infectious Disease;ABMS Internal Medicine;Paulina A. Rebolledo Esteinou, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Universidad La Salle;;Emory University School of Medicine
Gastroenterology;ABMS Internal Medicine;Stanley P. Riepe, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington University School of Medicine;Emory University School of Medicine;Washington University School of Medicine;Washington University School of Medicine
Pulmonary & Critical Care;ABMS Internal Medicine;Matthew S. Reaven, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;Northeast Ohio Medical University;;Carolinas Medical Center
Emergency Medicine;ABMS Emergency Medicine;Elijah  Robinson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine- Emergency Medicine;Wake Forest School of Medicine;;Akron General Medical Center
Interventional Radiology;ABMS Radiology;William G. O'Connell, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Northwestern Memorial Hospital;New Jersey Medical School;Crozer-Chester Medical Center;Hahnemann University Hospital
Emergency Medicine;ABMS Emergency Medicine;Kathleen T. O'Donnell, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;S.U.N.Y. School of ;;Emory University School of Medicine-Emergency Medicine
Orthopaedics;ABMS Orthopaedic Surgery;James R. Roberson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo Clinic (Arizona);University of Texas SW Medical School @ Dallas;Emory University School of Medicine;Emory University School of Medicine
Nephrology;ABMS Internal Medicine;Nnamdi K. Nwaohiri, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;New York Hospital - Queens;College of Medicine University of Lagos;;New York Hospital - Queens
;ABMS Emergency Medicine;Katherine L. Nugent, MD;Female;;;Emory;(404) 616-1000;Emory University School of Medicine;Indiana University School of Medicine;;Emory University School of Medicine
Interventional Radiology;ABMS Radiology;Sherif G. Nour Abdalla, MD;Male;Arabic;Grady Memorial Hospital;Emory;(404) 616-1000;University Hospitals of Cleveland;Cairo University Hospital;Cairo University Hospital;Cairo University Hospital
Gynecology/Obstetrics;ABMS Obstetrics/Gynecology;Gina M. Northington, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pennsylvania School of Medicine;UMDNJ Robert Johnson Medical School;;Wayne State University School of Medicine
Neurosurgery;ABMS Neurological Surgery;Gustavo  Pradilla, MD, FAANS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Miller School of Medicine;Pontificia Universidad;John Hopkins Hospital;Johns Hopkins Hospital
Psychiatry;ABMS Psychiatry/Neurology;Grayson S. Norquist, MD, MSPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;UCLA School of Medicine;University of Mississippi;UCLA School of Medicine;UCLA School of Medicine
Hospice & Palliative Medicine;ABMS Internal Medicine;Chinonye  Nnaji;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Winthrop University Hospital;SUNY Upstate Medical Center @ Syracuse;;Winthrop University Hospital
Family Practice;ABMS Family Medicine;Lawrence D. Powell, MD;Male;;East Point Health Center;Morehouse;(404) 616-1000;Hughston Sports Medicine Clinic;University of Illinois College of Medicine;;John H. Stroger Jr., Hospital of Cook County
Pulmonary Disease;ABMS Internal Medicine;Carmen C. Polito, MD, MSc;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory Univeristy School of Medicine;Medical University of South Carolina;Emory University School of Medicine;
Pulmonary & Critical Care;ABMS Internal Medicine;Mario C. Ponce, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Medical University of South Carolina;Universidad Perauna;;Jackson Memorial Hospial
Vascular & Interventional Radiology;ABMS Radiology;Gail L. Peters, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Childrens Hospital of Los Angeles;University of Arizona College of Medicine;Tucson Medical Center;University of Arizona College Medicine
Internal Medicine;ABMS Internal Medicine;John R. Pittman, MD, FACP;Male;French;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Mississippi School of Medicine;;University of Texas SW Medical School at Dallas
Ophthalmology;ABMS Ophthalmology;Jacquelyn A. O'Banion, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Dean McGee Eye Institute-;University of Texas Medical School at San Antonio;Legacy Emanuel;Dean McGee Eye Institute-
Dermatology;ABMS Dermatology;Zakiya P. Rice, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Washington School of Medicine;;Childrens Hospital and Medical Center
Emergency Medicine;ABMS Emergency Medicine;Alison D. Ridpath, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;New York University;;Harvard Affiliated Emergency Medicine
Emergency Medicine;ABMS Emergency Medicine;Michael C. Perry, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Texas Medical Center;;UT Austin Dell Medical School
Internal Medicine;ABMS Internal Medicine;Nicole T. Perrotte, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;St. George's University;;Drexel University College of Medicine
Pediatric Radiology;ABMS Radiology;Edward J. Richer, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Cincinnati;University Hospital;Emory University School of Medicine
Neuro Ophthalmology;ABMS Ophthalmology;Jason H. Peragallo, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Jules Stein Eye Institute/UCLA;New York School of Medicine;New York Hospital - Queens;New York Medical College/Metropolitian Hospital Center
Neurology;ABMS Psychiatry/Neurology;Nigel P. Pedersen, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;ECFMG-University of Aleppo Faculty of Medicine;Beth Israel Deaconess Medical Center;Beth Israel Deaconess Medical Center
Neurology;ABMS Psychiatry/Neurology;David T. Pearce, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of  Medicine and Health Sciences;Emory University School Of Medicine;Emory University Hospital
Emergency Medicine;;Elizabeth  Peacock, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Washington School of Medicine;;Ascension St. John Hospital
Surgical Critical Care;ABMS Surgery;Ravi  Rajani, MD, FACS, RPVI, DFSVS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Cleveland Clinic;University of Michigan School of Medicine;Cleveland Clinic;Cleveland Clinic
Abdominal Imaging;ABMS Radiology;Melina  Pectasides, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Athens;New York Hospital Medical Center of Queens;Massachusetts General Hospital
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Marissa H. Platner, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;Sackler School of Medicine ECFMG;;Emory University School of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Clemlyn-Ann A. Pollydore, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;University of Pennsylvania;;Emory University
Gastroenterology;ABMS Internal Medicine;Shreya M. Raja, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;John Hopkins University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Terri M. Pruitt, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine-Emergency Medicine
Radiology;ABMS Radiology;John D. Prologo, MD, FSIR, ABOM-D;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Ohio State University Medical;;Case Western Reserve School of Medicine
Gastroenterology;ABMS Internal Medicine;Emad S. Qayed, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Jordan;Emory University Hospital;Emory University School of Medicine
Interventional Cardiology;ABMS Internal Medicine;Syed T. Rab, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Sind Medical College;Hurley Medical Center;Henry Ford Hospital
Otolaryngology;ABMS Otolaryngology;Kara K. Prickett, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital of Philadelphia;Harlem Hospital Center;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Melissa A. Piotrowski, MD, FACEP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Ohio;MetroHealth Medical Center;Metrohealth/Cleveland Clinic Foundation
Cardiothoracic Vascular Surgery;ABMS Thoracic Surgery;Allan  Pickens, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Michigan;University of Alabama at Birmingham;;University of Alabama at Birmingham
Neonatology;ABMS Pediatrics;Anthony J. Piazza, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of South Florida College of Medicine;;Emory University School of Medicine
Orthopaedics;ABMS Orthopaedic Surgery;Steven M. Presciutti, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Rush University Medical Center;Jefferson Medical College;;University of Connecticut
Neurocritical Care;ABMS Psychiatry/Neurology;Steven Michael Phillips, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Michigan State University College of Human Medicine;Indiana University School of Medicine;Indiana University School of Medicine
Neurology;ABMS Psychiatry/Neurology;John  Pham, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;The Ohio State University College of Medicine;;University Hospital Case Medical
Family Medicine;AB Family Medicine, AB Obesity Medicine;Wilhelmina M. Prinssen, MD, BSN, FAAFP;Female;;Asa G Yancey Health Center;Grady;(404) 616-1000;;;;Emory Family Medicine Residency Program
Diagnostic Radiology;ABMS Radiology;Ryan B. Peterson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Tennessee Health Science Center;Emory University School of Medicine;Emory University School of Medicine
Surgery;ABMS Surgery;Barbara J. Pettitt, MD, FACS, FAAP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital of Pittsburgh;Northwestern University The Feinberg School of Medicine;University of Southern California (Los Angeles);LAC-USC Medical Center
Infectious Diseases;ABMS Internal Medicine;Minh Ly T. Nguyen, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Montefiore University Hospital(Pittsburgh);Temple University School of Medicine;Lehigh Valley Hospital;Lehigh Valley Hospital
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Antoinette T. Nguyen, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of North Carolina Hospitals;Emory University School of Medicine;;McGaw Medical Center of Nortwestern University
Trauma Surgery;ABMS Radiology;Jonathan H. Nguyen, DO, FACS, FACOS;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Cooper University Hospital;Texas College of Osteopathic Medicine;University of Medicine and Dentistry of New Jersey;Rowan University School of Osteopathic Medicine
Vascular & Interventional Radiology;ABMS Radiology;Janice M. Newsome, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Miami Cardiac & Vascular Institute;Mount Sinai School of Medicine;Medical College of Virginia;Medical College of Virginia
