"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Varsha G. Deshmukh","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English French Gujarati Hindi Marathi Spanish","Pediatrics Teenagers Adults Geriatrics","North Shore University Hospital at Forest Hills",""
"Sandor Shoichet","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Northwestern University The Feinberg School of Medicine","5.0 out of 5"
"Hasan Hasaba","Pediatrics","Beaumont Hospital, Royal Oak","","Male","Arabic English Spanish","Newborns Pediatrics Teenagers","Saint Josephs Regional Medical Center",""
"Brett A Holmes","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Robert J Egan","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine (Michigan)",""
"Irvin J. Gastman","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Somil A Gupta","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English German Hindi","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Methodist Hospital-OhioHealth",""
"Parveen N Siddiqui","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Adults Geriatrics","University of Minnesota Medical School",""
"Andrea C Hernandez-Troya","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Italian Spanish","Pediatrics","Beaumont Hospital, Royal Oak",""
"Jesse M Zrull","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","McLaren Greater Lansing","4.8 out of 5"
"Supak Sookkasikon","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Arizona Health Sciences Center",""
"Christopher T. Doig","About Expertise","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Sarah E Little","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Danielle E Leskie","Pediatrics","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Jane P Kramar","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Regina E Rizk","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","St Joseph Mercy Oakland",""
"Alice M Kachman","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English","Adults Geriatrics","St. Joseph Mercy Hospital",""
"Richard A Minkin","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","University of Michigan Hospitals & Health Centers",""
"Sheala Jafry","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","Arabic English Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital",""
"Atif M George","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English","Adults Geriatrics","Ascension Providence Hospital",""
"Stacey Ann Chittle Shubeck","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Tammi W Cooper","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Emory University Hospital",""
"Lori A Finn","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Andrea T Scheid","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Pediatrics Teenagers","Rainbow Babies and Children's Hospital",""
"Shashi Sahai","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Maath J Alani","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","Wayne State University/Detroit Medical Center",""
"Jane P Kramar","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Paul Ehrmann","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Detroit Osteopathic Hospital",""
"Maria A Ortiz-Reyes","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Romanian","Adults Geriatrics","William Beaumont Hospital",""
"Evan M Stashefsky","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","St John Hospital & Medical Center",""
"Regina E Rizk","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","St Joseph Mercy Oakland",""
"Gary M Hollander","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Richard A Minkin","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","University of Michigan Hospitals & Health Centers",""
"Atif M George","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English","Adults Geriatrics","Ascension Providence Hospital",""
"Stacey Ann Chittle Shubeck","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Deanne E Kiba","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Affinity Medical Center",""
"Besma Yako Mikhail","Pediatrics","Beaumont Hospital, Troy","","Female","Arabic Chaldean English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Urszula A Studzinski","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Polish","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Zahoorul Hassan","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Urdu","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Fabrizio DiNoto","Internal Medicine","Beaumont Hospital, Troy","","Male","English Italian","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Manhal H Naoumi","Family Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Detroit Medical Center",""
"Terry M Calcut","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Victor I Corondan","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English Romanian","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Mark Rosenberg","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Oakland Hospital",""
"Azmathullah Khan","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Michael G Kizy","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Chaldean English Spanish","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"John D Bonema","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Dean R Moscovic","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Susan Pearce Pikal","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Jacqueline L Gierer","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Andrew J. Colman","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakland General Hospital (St John Oakland)",""
"Michael P Maddens","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"John B Calado","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Teenagers Adults Geriatrics","Bicounty Community Hospital",""
"Clara Kamath-Wood","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.8 out of 5"
"Farah Mehdi","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Urdu","Adults Geriatrics","St. Joseph Mercy - Oakland",""
"Stephen R Bell","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Beaumont Hospital, Trenton",""
"Michael S Pieh","Hospital Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","University of Connecticut School of Medicine",""
"Assem A Elfakih","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","East Tennessee State University Program",""
"Andrew J Dettore","Pediatrics","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan",""
"Lourin N Chahin","Internal Medicine","Beaumont Hospital, Troy","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Edward I Nazareno","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Johns Hospital & Medical Center",""
"Michael G Kizy","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Chaldean English Spanish","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"John D Bonema","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Susan Pearce Pikal","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Audrey M Sim","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Brent M Fuller","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Antonino G Colombo","Family Medicine","Beaumont Hospital, Troy","","Male","English Hungarian Italian","Pediatrics Teenagers Adults Geriatrics","MidMichigan Medical Center",""
"Derrick A Williamson","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan Osteopathic Medical Center",""
"Toby R Kellk Hamann","Family Medicine","","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Nova Southeastern University",""
"Patrick A Charles","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Bronx-Lebanon Hospital Center",""
"Leonidas P Moschouris","Pediatrics","Beaumont Hospital, Grosse Pointe","","Male","English Greek","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Khalid Kamal","Pediatrics","Beaumont Hospital, Dearborn","","Male","Arabic English Punjabi Spanish Urdu","","Children's Hospital of Michigan","4.8 out of 5"
"Rohit Verma","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi","Adults Geriatrics","Henry Ford Hospital",""
"Marc Feldman","Hospital Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Sinai Grace Hospital",""
"Michael A Samluk","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Denise M Jabbour","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Adults Geriatrics","St John Hospital & Medical Center",""
"Tzvi Braver","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Macomb-Oakland Hospital, Warren Campus",""
"Eqdam N Radhi","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","St. Joseph Mercy - Oakland",""
"Michelle M Bauer","Family Medicine","Beaumont Hospital, Trenton","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Iyad J Alosachie","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English French","Adults Geriatrics","Ascension Providence Hospital",""
"Maribeth Knight","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Kris Warszawski","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Polish","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Ralph W Raper","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"James E Clinton","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Mary S Lee","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Anwar Jebran","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic English","Adults Geriatrics","Weiss Memorial Hospital",""
"David A. Crowl","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Frank F. Lanzilote","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Michael J Simpson","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Alla Yeras","Family Medicine","Beaumont Hospital, Troy","","Female","English Polish Russian Ukrainian","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center",""
"David E Weissman","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Haissam G El-Takech","Pediatrics","Beaumont Hospital, Dearborn","","Male","Arabic English French Lithuanian","Newborns Pediatrics Teenagers","St. John Hospital and Medical Center",""
"Haseeb A Khawaja","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Urdu","Adults Geriatrics","MSU Kalamazoo Center for Medical Studies",""
"Michael A Samluk","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Kai K Palm","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Jennifer L Raffin","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine",""
"Sheila P Meftah","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Tassia M Samona","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English","Adults Geriatrics","Oakwood Hospital (Michigan)",""
